,player_win,player_loss,push,win_push,total_hands,win_pct,win_push_pct,doubles_won,doubles_lost,doubles_won_pct,player_bj,dealer_bj,dealer_ten,dealer_bust,dealer_draw,dealer_21_draw,dealer_ten_pct,dealer_bust_pct,dealer_draw_pct,dealer_21_draw_pct,dealer_avg_hand,num_of_shuffles,shuffle_method
0,16,22,7,23,45,0.356,0.511,1,2,0.333,4,4,11,9,14,2,0.244,0.2,0.311,0.044,17.695,42,1
0,26,16,4,30,46,0.565,0.652,7,2,0.778,3,1,13,15,12,3,0.283,0.326,0.261,0.065,17.705,43,1
0,19,21,5,24,45,0.422,0.533,1,2,0.333,2,4,10,12,11,2,0.222,0.267,0.244,0.044,17.706,44,1
0,17,21,5,22,43,0.395,0.512,2,2,0.5,2,3,13,8,19,5,0.302,0.186,0.442,0.116,17.699,45,1
0,27,14,5,32,46,0.587,0.696,1,2,0.333,3,1,13,15,7,0,0.283,0.326,0.152,0,17.706,46,1
0,25,18,2,27,45,0.556,0.6,4,1,0.8,1,3,13,15,11,2,0.289,0.333,0.244,0.044,17.699,47,1
0,18,24,1,19,43,0.419,0.442,1,3,0.25,1,1,17,8,13,2,0.395,0.186,0.302,0.047,17.707,48,1
0,20,22,3,23,45,0.444,0.511,2,1,0.667,3,0,15,9,14,2,0.333,0.2,0.311,0.044,17.699,49,1
0,15,27,4,19,46,0.326,0.413,1,2,0.333,1,1,11,9,16,5,0.239,0.196,0.348,0.109,17.691,50,1
0,22,20,3,25,45,0.489,0.556,5,0,1,3,2,16,7,16,0,0.356,0.156,0.356,0,17.686,51,1
0,18,28,1,19,47,0.383,0.404,1,2,0.333,2,4,14,9,11,2,0.298,0.191,0.234,0.043,17.67,52,1
0,19,26,1,20,46,0.413,0.435,2,1,0.667,2,4,13,11,17,4,0.283,0.239,0.37,0.087,17.675,53,1
0,18,24,4,22,46,0.391,0.478,4,1,0.8,0,4,14,8,16,6,0.304,0.174,0.348,0.13,17.681,54,1
0,20,22,2,22,44,0.455,0.5,6,2,0.75,2,1,13,10,16,4,0.295,0.227,0.364,0.091,17.676,55,1
0,19,26,1,20,46,0.413,0.435,2,0,1,1,3,16,9,14,3,0.348,0.196,0.304,0.065,17.666,56,1
0,20,23,4,24,47,0.426,0.511,3,4,0.429,2,2,15,11,13,4,0.319,0.234,0.277,0.085,17.662,57,1
0,18,20,7,25,45,0.4,0.556,1,3,0.25,4,2,12,6,11,2,0.267,0.133,0.244,0.044,17.666,58,1
0,21,20,5,26,46,0.457,0.565,0,1,0,2,4,13,12,11,1,0.283,0.261,0.239,0.022,17.668,59,1
0,21,21,2,23,44,0.477,0.523,2,1,0.667,3,1,17,13,10,4,0.386,0.295,0.227,0.091,17.667,60,1
0,28,15,5,33,48,0.583,0.688,7,3,0.7,2,1,14,12,15,1,0.292,0.25,0.312,0.021,17.665,61,1
0,17,26,2,19,45,0.378,0.422,1,1,0.5,1,4,10,12,13,3,0.222,0.267,0.289,0.067,17.668,62,1
0,18,21,6,24,45,0.4,0.533,3,4,0.429,2,1,11,10,15,4,0.244,0.222,0.333,0.089,17.672,63,1
