,player_win,player_loss,push,total_hands,win_pct,win_push,win_push_pct,doubles_won,doubles_lost,doubles_won_pct,player_bj,dealer_bj,dealer_high_card,dealer_low_card,dealer_bust,dealer_draw,dealer_stand,dealer_bust_pct,dealer_draw_pct,dealer_stand_pct,dealer_avg_hand,num_of_shuffles,shuffle_method
0,24,16,5,45,0.533,29,0.644,3,4,0.429,1,2,26,19,16,14,15,0.356,0.311,0.333,18.071,29,riffle_clumpy
0,19,20,5,44,0.432,24,0.545,2,2,0.5,2,2,25,19,12,21,11,0.273,0.477,0.25,18.068,30,riffle_clumpy
0,18,23,4,45,0.4,22,0.489,2,4,0.333,0,3,32,13,13,13,19,0.289,0.289,0.422,18.089,31,riffle_clumpy
0,21,23,2,46,0.457,23,0.5,4,1,0.8,1,3,30,16,12,13,21,0.261,0.283,0.457,18.079,32,riffle_clumpy
0,23,21,2,46,0.5,25,0.543,5,3,0.625,2,3,26,20,16,13,17,0.348,0.283,0.37,18.066,33,riffle_clumpy
0,19,24,5,48,0.396,24,0.5,3,3,0.5,4,0,27,21,8,25,15,0.167,0.521,0.312,18.079,34,riffle_clumpy
0,18,24,4,46,0.391,22,0.478,4,2,0.667,3,3,29,17,10,14,22,0.217,0.304,0.478,18.066,35,riffle_clumpy
0,24,21,1,46,0.522,25,0.543,2,1,0.667,2,1,25,21,18,15,13,0.391,0.326,0.283,18.077,36,riffle_clumpy
0,21,20,5,46,0.457,26,0.565,2,2,0.5,1,2,31,15,16,14,16,0.348,0.304,0.348,18.045,37,riffle_clumpy
0,23,17,5,45,0.511,28,0.622,4,3,0.571,2,1,28,17,14,15,16,0.311,0.333,0.356,18.053,38,riffle_clumpy
0,20,23,5,48,0.417,25,0.521,7,3,0.7,2,1,24,24,15,15,18,0.312,0.312,0.375,18.066,39,riffle_clumpy
0,19,26,3,48,0.396,22,0.458,2,3,0.4,4,2,27,21,13,16,19,0.271,0.333,0.396,18.064,40,riffle_clumpy
0,17,25,4,46,0.37,21,0.457,1,5,0.167,1,2,25,21,12,19,15,0.261,0.413,0.326,18.067,41,riffle_clumpy
0,15,29,3,47,0.319,18,0.383,2,1,0.667,0,3,33,14,12,16,19,0.255,0.34,0.404,18.088,42,riffle_clumpy
0,22,21,1,44,0.5,23,0.523,6,5,0.545,0,1,22,22,14,18,12,0.318,0.409,0.273,18.104,43,riffle_clumpy
0,19,20,7,46,0.413,26,0.565,1,0,1.0,4,0,35,11,6,19,21,0.13,0.413,0.457,18.11,44,riffle_clumpy
0,19,23,4,46,0.413,23,0.5,2,1,0.667,1,4,32,14,11,16,19,0.239,0.348,0.413,18.11,45,riffle_clumpy
0,23,23,1,47,0.489,24,0.511,1,0,1.0,6,3,30,17,8,14,25,0.17,0.298,0.532,18.08,46,riffle_clumpy
0,23,18,5,46,0.5,28,0.609,1,0,1.0,3,3,31,15,16,14,16,0.348,0.304,0.348,18.079,47,riffle_clumpy
0,18,27,2,47,0.383,20,0.426,0,0,0,1,1,28,19,12,16,19,0.255,0.34,0.404,18.089,48,riffle_clumpy
0,28,16,3,47,0.596,31,0.66,7,0,1.0,2,1,22,25,15,16,16,0.319,0.34,0.34,18.085,49,riffle_clumpy
0,17,26,2,45,0.378,19,0.422,2,2,0.5,2,0,30,15,11,15,19,0.244,0.333,0.422,18.085,50,riffle_clumpy
