,player_win,player_loss,push,total_hands,win_pct,win_push,win_push_pct,doubles_won,doubles_lost,doubles_won_pct,player_bj,dealer_bj,dealer_high_card,dealer_low_card,dealer_bust,dealer_draw,dealer_stand,dealer_bust_pct,dealer_draw_pct,dealer_stand_pct,dealer_avg_hand,num_of_shuffles,shuffle_method
0,18,22,4,44,0.409,22,0.5,1,1,0.5,1,1,28,16,9,14,21,0.205,0.318,0.477,17.642,21,python
0,19,25,3,47,0.404,22,0.468,3,3,0.5,1,3,28,19,8,16,23,0.17,0.34,0.489,17.653,22,python
0,16,21,6,43,0.372,22,0.512,1,3,0.25,1,0,28,15,10,15,18,0.233,0.349,0.419,17.663,23,python
0,18,25,4,47,0.383,22,0.468,1,1,0.5,1,1,28,19,12,18,17,0.255,0.383,0.362,17.66,24,python
0,16,25,4,45,0.356,20,0.444,2,4,0.333,1,3,31,14,9,14,22,0.2,0.311,0.489,17.657,25,python
0,21,21,3,45,0.467,24,0.533,5,3,0.625,3,4,32,13,10,11,24,0.222,0.244,0.533,17.634,26,python
0,24,21,5,50,0.48,29,0.58,2,2,0.5,2,1,24,26,9,25,16,0.18,0.5,0.32,17.647,27,python
0,17,25,3,45,0.378,20,0.444,1,4,0.2,1,3,25,20,12,15,18,0.267,0.333,0.4,17.663,28,python
0,21,24,2,47,0.447,23,0.489,4,4,0.5,4,2,28,19,9,12,26,0.191,0.255,0.553,17.652,29,python
0,24,20,0,44,0.545,24,0.545,0,3,0.0,3,1,29,15,11,13,20,0.25,0.295,0.455,17.656,30,python
